clip,frame,ball_real_x,ball_real_y,is_real_bounce,bounce_in
Dataset_Clutch/Clip133,287,7.681660763461475,0.3600299675201157,1,1.0
Dataset_Clutch/Clip133,410,0.9319682704806849,1.737136462688346,1,1.0
Dataset_Clutch/Clip134,192,3.544281531075945,5.725224694606771,1,1.0
Dataset_Clutch/Clip135,120,2.959153348539952,1.7874541947327809,1,1.0
Dataset_Clutch/Clip135,246,0.05221457989950482,0.8700022657169628,1,1.0
Dataset_Clutch/Clip136,274,1.7327767761875095,7.422548457428222,1,1.0
Dataset_Clutch/Clip137,130,1.1152733694183827,1.0089965519170496,1,1.0
Dataset_Clutch/Clip141,37,2.2190552618512007,16.68951195292828,1,1.0
Dataset_Clutch/Clip142,145,2.0106153163448606,3.560611748179242,1,1.0
Dataset_Clutch/Clip142,167,1.241223316282464,9.143633937734492,1,1.0
Dataset_Clutch/Clip143,32,3.893377829054083,14.720474074844828,1,1.0
Dataset_Clutch/Clip144,51,0.457976253505639,16.33994133772809,1,1.0
Dataset_Clutch/Clip144,115,6.305260635203173,19.198133300257915,1,1.0
Dataset_Clutch/Clip144,199,0.757041336659621,2.07384721895047,1,1.0
Dataset_Clutch/Clip144,375,-0.3426002923127596,15.281293593982282,1,1.0
Dataset_Clutch/Clip144,439,1.0019655328784975,7.085534628141156,1,1.0
Dataset_Clutch/Clip145,43,3.4850890225071565,23.02426291978843,1,1.0
Dataset_Clutch/Clip145,223,8.58730405459238,16.8114350637484,1,1.0
Dataset_Clutch/Clip145,250,7.4963254493059965,17.974768023131794,1,1.0
Dataset_Clutch/Clip145,258,7.567510148848032,17.777969266149743,1,1.0
Dataset_Clutch/Clip146,111,6.279696696382527,23.738191971856644,1,1.0
Dataset_Clutch/Clip146,119,0.4225547002963819,15.273089787732529,1,1.0
Dataset_Clutch/Clip146,174,6.5158574811205625,5.682238302831794,1,1.0
Dataset_Clutch/Clip146,197,6.359863023119154,1.9846491408578832,1,1.0
Dataset_Clutch/Clip146,231,1.5109938384183323,17.450382059647467,1,1.0
Dataset_Clutch/Clip146,271,0.011537898456036972,14.933063623016876,1,1.0
Dataset_Clutch/Clip146,314,3.1138772569808153,3.175736585369608,1,1.0
Dataset_Clutch/Clip147,107,-0.3992544767662408,24.036558812683165,1,1.0
Dataset_Clutch/Clip148,86,2.9062406097564835,3.270135338063301,1,1.0
Dataset_Clutch/Clip148,95,2.1583507926228918,1.2298652858692363,1,1.0
Dataset_Clutch/Clip148,142,0.34919853290201347,16.159582037749924,1,1.0
Dataset_Clutch/Clip148,199,2.16038388850127,4.030344483578452,1,1.0
Dataset_Clutch/Clip148,219,1.5553046286147703,4.925104568484671,1,1.0
