00:58:07 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip48 acumulado (300 filas) | presion punto: (0, 0).
00:58:07 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip49 | 100 frames | 1920x1080
00:58:12 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip49 | 8 tracks -> 1 seleccionados por movimiento
00:58:12 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip49 acumulado (100 filas) | presion punto: (0, 0).
00:58:12 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip50 | 350 frames | 1920x1080
00:58:29 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip50 | 11 tracks -> 2 seleccionados por movimiento
00:58:29 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip50 acumulado (700 filas) | presion punto: (0, 0).
00:58:29 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip51 | 150 frames | 1920x1080
00:58:37 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip51 | 10 tracks -> 2 seleccionados por movimiento
00:58:37 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip51 acumulado (300 filas) | presion punto: (0, 1).
00:58:37 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip52 | 350 frames | 1920x1080
00:58:55 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip52 | 10 tracks -> 2 seleccionados por movimiento
00:58:55 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip52 acumulado (700 filas) | presion punto: (0, 0).
00:58:55 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip53 | 150 frames | 1920x1080
00:59:03 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip53 | 12 tracks -> 2 seleccionados por movimiento
00:59:04 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip53 acumulado (300 filas) | presion punto: (0, 0).
00:59:04 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip54 | 400 frames | 1920x1080
00:59:24 | INFO    | src.tracking.player_tracker | Jugadores | Dataset_Clutch/Clip54 | 16 tracks -> 2 seleccionados por movimiento
00:59:24 | INFO    | src.pipeline.orchestrator | [JUGADORES] Clip54 acumulado (800 filas) | presion punto: (0, 0).
